Duovir Tablet 10'S
Valcivir 500mg Tablet 3'S
Qvir Kit 1'S
ACIVIR Cream 10gm
Duovir E Kit 1'S
Lamivir Hbv Tablet 10'S
Lamivir 150mg Tablet 10'S
Acivir DT 200mg Tablet 10'S
Acivir DT 400mg Tablet 5'S
CASIRIVIMAB & IMDEVIMAB COMBO PACK Injection 1's
Hepcvir 400mg Tablet 28'S
Zepdon 400mg Tablet 60'S
CIPREMI RTU 100 Injection 20ml
CIPREMI Injection 1's
CIPLENZA 800mg Tablet 10's
Virenza(With Revolizer) 5mg Rotacap 30'S
CIPLENZA 400mg Tablet 10's
Lamivir S 40mg Tablet 60'S
Triomune 40mg Tablet 30'S
CIPLENZA 200 Tablet 10's
Lamivir S 150mg/60mg Tablet 7'S
Virenza Rotacaps 20'S
Valavir 500mg Tablet 3'S
Odivir Kit 300mg/400mg/600mg Tablet 7'S
Nevimune Oral Suspension 10ml
Lamivir SE 30 Kit 1'S
CIPVIR 400mg Tablet 10's
CIPVIR 200mg Tablet 10's
MONTECIP FX Tablet 10's
FEXIGRA M Tablet 10's
Montecip LC Tablet 10'S
MONTECIP BL Tablet 10's
BILACIP Tablet 10's
MONTECIP LC JUNIOR Syrup 60ml
Cofryl Syrup 100ml
Alergin L Tablet 10'S
Loratin 10mg Tablet 10'S
Cetcip L 5mg Tablet 10'S
Okacet L Tablet 10'S
Cetcip Syrup 30ml
Okacet Syrup 30ml
Okacet Tablet 10'S
Cetcip 10mg Tablet 10'S
OKACET NEW Tablet 10's
Fexigra 120mg Tablet 10'S
BILACIP M Tablet 10's
Okacet L Syrup 30ml
COF Q DX Tablet 10's
Cofryl OG Syrup 60ml
Alergin Tablet 10'S
Alergin NF Syrup 30ml
VOMISHUNT MD 8 Tablet 10's
VOMISHUNT MD 4 Tablet 10's
VERTIGIL Tablet 6's
VOMISHUNT Syrup 30ml
Vomistop 10mg Tablet 10'S
VOMISTOP DT 10mg Tablet 10's
VOMETIL MD Tablet 10's
VOMISHUNT Injection 4ml
VOMISHUNT Injection 2ml
Vometil 5mg Tablet 10'S
Emeset 8mg Tablet 10'S
Emeset 4mg Tablet 10'S
Emeset Odt 4mg Tablet 10'S
Emeset MD 4mg Tablet 10'S
Emeset Juicy Lemon Flavour Syrup 30ml
EMESET 2 MG STRAWBERRY FLAVOUR Syrup 30ml
Emeset Injection 4ml
Emeset Injection 2ml
Avogran DT 1mg Tablet 4'S
Emeset OD 8mg Tablet 10'S
Vominate 10mg/10mg Tablet 10'S
Omnidox Tablet 10'S
Saslic Face Wash Foam 60ml
Cipladine Powder 10gm
Cipladine Ointment 20gm
Cipladine 5% Ointment 15gm
Cipladine Solution 2Ltr
Cipladine 7.5% Solution 100ml
Cipladine 5% Solution 100ml
CIPLADINE 10% Ointment 10gm
Cadress Ointment 10gm
Maxirich Multivitamin Syrup 200 ml
Maxirich LiverCare Syrup 200 ml
Maxirich Cal 500 Tablet 15's
Maxirich Cal 500 Tablet (20 X 15's)
Cofsils Experdine Throat Spray 50 ml
Ciphands Smart Germ Protection Wipes 40's
Cipla ActivStart Fibocare Powder - Orange 100 gm
Naselin Anti-Viral Nasal Spray 15 ml
Ciphands Smart Germ Protection Wipes 10's
Nicotex Nicotine Transdermal 21 mg Patch 7's
Cofsils Sore Throat Lozenges Assorted Flavours 220's
Nicotex Nicotine Transdermal 14 mg Patch 7's
Nicotex Nicotine Transdermal 7 mg Patch 7's
Cipla Xgain Shampoo 100 ml
Mamaxpert Legs Relaxing Gel 60 ml
Ciphands Rinse Free & Non-Sticky Antiseptic Hand Sanitizer Gel 500 ml
Nicotex 2mg Chew Gum - Mint Plus Flavour 25's
Cofsils Cough Drops Lozenges - Assorted Flavours 220's
Clocip Powder 100 gm
Cipla Clocip KZ Soap 75 gm
Nicotex 2mg Chew Gum - Paan Flavour 9's
Clocip Prickly Heat Powder 150 gm
Nicogum 2 Mini Lozenge - Mint Plus Flavour 10's
Nicotex 2mg Chew Gum - Mint Plus Flavour 9's
